"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,4,7,40,0,0,0,4,1,2,0
"2020-02-28",3,0,0,1,8,5,8,43,0,0,0,3,1,2,1
"2020-02-29",1,0,0,0,9,4,9,43,0,0,0,1,0,2,1
"2020-03-01",6,1,2,0,11,5,11,50,0,0,1,7,2,3,1
"2020-03-02",9,1,0,0,10,5,11,60,0,0,1,10,0,4,1
"2020-03-03",6,0,1,0,12,6,13,65,0,0,1,6,1,4,1
"2020-03-04",8,2,3,0,15,8,16,74,0,2,1,10,3,6,1
"2020-03-05",10,0,1,1,15,8,18,82,0,2,1,10,2,6,2
"2020-03-06",14,1,4,0,19,11,22,96,0,2,2,15,4,7,2
"2020-03-07",6,3,3,0,21,12,25,105,0,3,1,9,3,10,2
"2020-03-08",13,5,6,0,27,16,31,121,2,3,1,18,6,15,2
"2020-03-09",20,5,5,1,31,18,38,143,2,3,2,25,6,20,3
"2020-03-10",22,5,9,0,37,19,47,164,2,3,2,27,9,25,3
"2020-03-11",39,4,8,0,46,21,57,201,4,3,2,43,8,29,3
"2020-03-12",51,4,23,0,67,28,80,248,5,3,2,55,23,33,3
"2020-03-13",64,4,13,0,78,31,94,308,5,4,2,68,13,37,3
"2020-03-14",52,3,17,0,94,39,112,347,6,6,5,55,17,40,3
"2020-03-15",60,8,27,0,118,47,140,391,10,6,8,68,27,48,3
"2020-03-16",125,19,32,0,146,53,173,510,15,7,9,144,32,67,3
"2020-03-17",127,13,34,0,175,56,209,595,17,7,12,140,34,80,3
"2020-03-18",154,16,50,0,224,60,263,716,22,10,13,170,50,96,3
"2020-03-19",215,26,57,1,281,68,327,897,29,10,15,241,58,122,4
"2020-03-20",203,25,82,0,356,70,414,1047,34,12,21,228,82,147,4
"2020-03-21",184,12,72,3,424,70,495,1125,47,14,28,196,75,159,7
"2020-03-22",219,17,71,1,477,70,569,1226,52,17,30,236,72,176,8
"2020-03-23",395,26,98,1,568,72,669,1526,69,19,42,421,99,202,9
"2020-03-24",392,24,107,0,648,73,781,1758,76,22,48,416,107,226,9
"2020-03-25",421,24,114,1,747,74,900,1969,88,26,58,445,115,250,10
"2020-03-26",419,34,104,1,832,74,1012,2175,110,36,60,453,105,284,11
"2020-03-27",523,34,112,1,919,74,1130,2407,124,42,75,557,113,318,12
"2020-03-28",287,25,99,2,986,74,1235,2340,141,46,91,312,101,343,14
"2020-03-29",238,20,88,1,1036,74,1328,2302,167,57,102,258,89,363,15
"2020-03-30",395,27,127,3,1125,74,1461,2449,186,66,121,422,130,390,18
"2020-03-31",289,39,107,0,1188,74,1571,2407,218,82,129,328,107,429,18
"2020-04-01",279,43,71,1,1205,75,1645,2308,238,100,138,322,72,472,19
"2020-04-02",314,42,88,2,1250,75,1743,2310,261,114,151,356,90,514,21
"2020-04-03",292,54,76,0,1278,75,1822,2305,294,136,159,346,76,568,21
"2020-04-04",177,23,62,2,1280,74,1887,2121,313,149,177,200,64,591,23
"2020-04-05",205,20,72,1,1301,75,1963,2083,335,158,198,225,73,611,24
"2020-04-06",285,59,60,0,1309,75,2025,2188,353,180,212,344,60,670,24
"2020-04-07",191,52,55,0,1311,75,2083,2062,386,201,243,243,55,722,24
"2020-04-08",188,32,56,0,1283,76,2143,1936,402,225,257,220,56,754,24
"2020-04-09",170,35,50,0,1279,75,2194,1768,413,253,262,205,50,789,24
"2020-04-10",192,38,48,0,1284,75,2243,1690,442,279,270,230,48,827,24
"2020-04-11",130,23,26,2,1250,75,2272,1513,457,298,290,153,28,850,26
"2020-04-12",120,36,34,1,1232,75,2307,1459,470,315,316,156,35,886,27
"2020-04-13",147,37,44,0,1219,76,2353,1465,492,330,343,184,44,923,27
"2020-04-14",145,36,33,2,1191,76,2389,1485,501,379,337,181,35,959,29
"2020-04-15",106,20,22,1,1166,76,2413,1398,519,430,336,126,23,979,30
"2020-04-16",104,24,28,0,1134,76,2442,1291,537,478,323,128,28,1003,30
"2020-04-17",135,26,25,0,1104,76,2468,1255,556,522,326,161,25,1029,30
"2020-04-18",73,18,18,0,1057,76,2486,1118,570,544,343,91,18,1047,30
"2020-04-19",75,15,19,0,1027,76,2506,1090,586,550,365,90,19,1062,30
"2020-04-20",99,30,25,1,1008,76,2533,1137,605,605,351,129,26,1092,31
"2020-04-21",105,34,20,0,972,76,2555,1108,626,655,351,139,20,1126,31
"2020-04-22",80,25,14,0,916,77,2570,1031,643,698,345,105,14,1151,31
"2020-04-23",87,43,16,0,876,77,2586,996,657,743,324,130,16,1194,31
"2020-04-24",76,31,17,1,859,76,2605,951,669,802,295,107,18,1225,32
"2020-04-25",38,26,13,0,829,76,2619,823,679,819,300,64,13,1251,32
"2020-04-26",37,27,13,0,806,76,2632,792,692,826,318,64,13,1278,32
"2020-04-27",55,25,14,0,782,76,2646,788,703,836,334,80,14,1303,32
"2020-04-28",84,33,14,1,761,76,2661,817,707,883,322,117,15,1336,33
"2020-04-29",55,25,11,0,733,76,2673,757,713,919,322,80,11,1361,33
"2020-04-30",57,25,18,0,708,76,2691,733,724,958,312,82,18,1386,33
"2020-05-01",50,16,9,0,673,76,2700,683,727,997,315,66,9,1402,33
"2020-05-02",26,15,9,0,633,76,2709,598,737,1012,315,41,9,1417,33
"2020-05-03",35,11,10,0,620,76,2720,584,742,1019,327,46,10,1428,33
"2020-05-04",57,22,11,1,610,76,2732,629,748,1058,324,79,12,1450,34
"2020-05-05",28,9,3,0,569,76,2735,546,754,1070,339,37,3,1459,34
"2020-05-06",51,21,5,0,542,73,2741,563,759,1106,331,72,5,1480,34
"2020-05-07",44,16,8,1,521,72,2751,537,767,1142,327,60,9,1496,35
"2020-05-08",53,24,7,0,489,72,2758,531,771,1176,316,77,7,1520,35
"2020-05-09",29,7,5,0,467,72,2763,476,777,1185,324,36,5,1527,35
"2020-05-10",22,19,4,1,450,72,2768,465,779,1188,333,41,5,1546,36
"2020-05-11",41,25,7,1,444,73,2776,496,786,1225,332,66,8,1571,37
"2020-05-12",23,29,2,0,402,71,2778,471,789,1266,310,52,2,1600,37
"2020-05-13",34,27,3,1,384,71,2782,448,793,1299,306,61,4,1627,38
"2020-05-14",22,22,8,2,360,71,2792,425,796,1327,294,44,10,1649,40
"2020-05-15",31,26,3,0,343,71,2796,411,802,1362,273,57,3,1675,40
"2020-05-16",16,6,7,1,328,70,2805,359,803,1372,272,22,8,1681,41
"2020-05-17",28,12,4,0,323,70,2810,374,803,1376,277,40,4,1693,41
"2020-05-18",36,22,4,0,317,70,2814,415,804,1408,280,58,4,1715,41
"2020-05-19",14,12,1,1,284,67,2816,388,806,1437,264,26,2,1727,42
"2020-05-20",29,17,2,0,273,66,2819,382,811,1465,252,46,2,1744,42
"2020-05-21",14,8,2,0,252,66,2821,345,815,1471,258,22,2,1752,42
"2020-05-22",28,19,4,0,241,66,2826,370,818,1504,241,47,4,1771,42
"2020-05-23",12,7,3,0,224,63,2829,330,819,1507,244,19,3,1778,42
"2020-05-24",18,13,7,0,223,63,2836,328,821,1507,254,31,7,1791,42
"2020-05-25",31,22,1,0,213,62,2837,359,822,1529,258,53,1,1813,42
"2020-05-26",25,15,4,0,190,62,2841,358,824,1547,252,40,4,1828,42
"2020-05-27",18,14,3,1,175,58,2845,333,825,1571,237,32,4,1842,43
"2020-05-28",14,12,1,0,167,57,2846,307,827,1600,219,26,1,1854,43
"2020-05-29",23,13,1,2,157,56,2849,307,830,1620,207,36,3,1867,45
"2020-05-30",20,5,2,0,147,54,2851,288,830,1627,202,25,2,1872,45
"2020-05-31",7,7,3,0,148,54,2854,279,830,1627,209,14,3,1879,45
"2020-06-01",12,7,4,0,145,53,2858,285,832,1627,212,19,4,1886,45
"2020-06-02",17,16,1,0,141,53,2859,304,832,1652,204,33,1,1902,45
"2020-06-03",16,9,4,1,129,50,2864,297,837,1672,189,25,5,1911,46
"2020-06-04",13,18,5,0,125,52,2869,290,839,1690,173,31,5,1929,46
"2020-06-05",9,9,3,0,123,51,2872,272,839,1700,165,18,3,1938,46
"2020-06-06",3,6,2,0,122,51,2874,237,841,1702,166,9,2,1944,46
"2020-06-07",3,9,3,0,121,50,2877,236,841,1704,166,12,3,1953,46
"2020-06-08",8,8,0,1,121,49,2879,240,841,1720,158,16,1,1961,47
"2020-06-09",9,9,2,0,113,48,2881,222,841,1731,151,18,2,1970,47
"2020-06-10",5,6,2,0,110,48,2883,204,842,1744,142,11,2,1976,47
"2020-06-11",14,12,1,0,106,48,2884,209,843,1755,137,26,1,1988,47
"2020-06-12",5,4,3,0,103,47,2887,199,844,1763,132,9,3,1992,47
"2020-06-13",4,4,1,0,100,45,2888,177,845,1763,132,8,1,1996,47
"2020-06-14",2,5,0,0,99,44,2888,174,847,1764,131,7,0,2001,47
"2020-06-15",5,4,1,0,98,44,2889,178,848,1782,123,9,1,2005,47
"2020-06-16",7,6,2,0,90,44,2891,177,850,1787,122,13,2,2011,47
"2020-06-17",4,10,0,0,83,42,2891,170,850,1793,122,14,0,2021,47
"2020-06-18",2,13,1,0,77,41,2892,175,851,1800,122,15,1,2034,47
"2020-06-19",3,10,0,0,71,38,2893,174,852,1810,114,13,0,2044,47
"2020-06-20",4,5,2,0,69,38,2895,157,853,1810,117,9,2,2049,47
"2020-06-21",4,9,0,0,65,36,2895,160,854,1810,117,13,0,2058,47
"2020-06-22",5,8,3,1,68,38,2899,166,855,1815,119,13,4,2066,48
"2020-06-23",5,7,1,0,61,35,2900,160,856,1821,118,12,1,2073,48
"2020-06-24",3,12,1,1,57,34,2902,159,857,1828,114,15,2,2085,49
"2020-06-25",6,8,1,0,54,33,2903,161,857,1834,113,14,1,2093,49
"2020-06-26",3,5,0,0,49,31,2903,161,858,1837,113,8,0,2098,49
"2020-06-27",1,2,0,0,46,30,2903,139,859,1837,116,3,0,2100,49
"2020-06-28",3,9,0,0,42,29,2903,145,859,1837,116,12,0,2109,49
"2020-06-29",6,6,0,0,42,29,2903,155,859,1843,113,12,0,2115,49
"2020-06-30",2,4,2,0,41,28,2905,142,859,1849,110,6,2,2119,49
"2020-07-01",3,3,0,0,37,26,2905,134,859,1851,109,6,0,2122,49
"2020-07-02",4,3,1,1,38,27,2907,129,860,1855,107,7,2,2125,50
"2020-07-03",4,7,0,0,35,26,2907,132,860,1863,99,11,0,2132,50
"2020-07-04",0,2,1,0,36,26,2908,124,860,1863,100,2,1,2134,50
"2020-07-05",1,5,0,0,35,25,2908,126,860,1864,100,6,0,2139,50
"2020-07-06",1,7,0,0,34,24,2908,135,861,1868,98,8,0,2146,50
"2020-07-07",3,6,1,0,32,23,2909,139,862,1871,97,9,1,2152,50
"2020-07-08",3,7,1,0,28,22,2910,141,862,1874,95,10,1,2159,50
"2020-07-09",3,7,1,1,29,21,2912,140,862,1877,92,10,2,2166,51
"2020-07-10",5,6,1,0,30,21,2913,146,862,1877,93,11,1,2172,51
"2020-07-11",2,1,0,1,29,19,2914,130,862,1877,93,3,1,2173,52
"2020-07-12",2,3,1,0,30,19,2915,131,863,1879,92,5,1,2176,52
"2020-07-13",4,6,0,0,29,20,2915,142,864,1880,92,10,0,2182,52
"2020-07-14",5,4,0,3,30,21,2918,142,865,1881,92,9,3,2186,55
"2020-07-15",1,4,1,0,29,20,2919,133,865,1885,90,5,1,2190,55
"2020-07-16",2,8,1,0,28,20,2920,134,865,1888,87,10,1,2198,55
"2020-07-17",4,4,0,0,30,19,2920,134,865,1888,88,8,0,2202,55
"2020-07-18",4,7,0,0,29,18,2920,136,865,1888,88,11,0,2209,55
"2020-07-19",4,3,1,0,31,18,2921,142,865,1888,89,7,1,2212,55
"2020-07-20",3,6,0,0,30,18,2921,151,865,1891,87,9,0,2218,55
