Version,Date_of_report,Date_of_statistics,IC_admission_notification,IC_admission
1,2021-03-20T00:30:00Z,2020-02-27,0,0
1,2021-03-20T00:30:00Z,2020-02-28,0,0
1,2021-03-20T00:30:00Z,2020-02-29,0,1
1,2021-03-20T00:30:00Z,2020-03-01,0,1
1,2021-03-20T00:30:00Z,2020-03-02,0,0
1,2021-03-20T00:30:00Z,2020-03-03,0,2
1,2021-03-20T00:30:00Z,2020-03-04,0,3
1,2021-03-20T00:30:00Z,2020-03-05,0,1
1,2021-03-20T00:30:00Z,2020-03-06,0,4
1,2021-03-20T00:30:00Z,2020-03-07,0,3
1,2021-03-20T00:30:00Z,2020-03-08,0,5
1,2021-03-20T00:30:00Z,2020-03-09,0,7
1,2021-03-20T00:30:00Z,2020-03-10,0,9
1,2021-03-20T00:30:00Z,2020-03-11,0,10
1,2021-03-20T00:30:00Z,2020-03-12,0,23
1,2021-03-20T00:30:00Z,2020-03-13,0,14
1,2021-03-20T00:30:00Z,2020-03-14,0,20
1,2021-03-20T00:30:00Z,2020-03-15,0,28
1,2021-03-20T00:30:00Z,2020-03-16,0,33
1,2021-03-20T00:30:00Z,2020-03-17,0,35
1,2021-03-20T00:30:00Z,2020-03-18,0,56
1,2021-03-20T00:30:00Z,2020-03-19,0,66
1,2021-03-20T00:30:00Z,2020-03-20,0,83
1,2021-03-20T00:30:00Z,2020-03-21,0,80
1,2021-03-20T00:30:00Z,2020-03-22,0,73
1,2021-03-20T00:30:00Z,2020-03-23,0,98
1,2021-03-20T00:30:00Z,2020-03-24,613,112
1,2021-03-20T00:30:00Z,2020-03-25,132,120
1,2021-03-20T00:30:00Z,2020-03-26,115,110
1,2021-03-20T00:30:00Z,2020-03-27,110,115
1,2021-03-20T00:30:00Z,2020-03-28,115,103
1,2021-03-20T00:30:00Z,2020-03-29,88,92
1,2021-03-20T00:30:00Z,2020-03-30,122,126
1,2021-03-20T00:30:00Z,2020-03-31,109,114
1,2021-03-20T00:30:00Z,2020-04-01,77,76
1,2021-03-20T00:30:00Z,2020-04-02,86,96
1,2021-03-20T00:30:00Z,2020-04-03,98,77
1,2021-03-20T00:30:00Z,2020-04-04,59,64
1,2021-03-20T00:30:00Z,2020-04-05,73,75
1,2021-03-20T00:30:00Z,2020-04-06,55,61
1,2021-03-20T00:30:00Z,2020-04-07,73,60
1,2021-03-20T00:30:00Z,2020-04-08,60,59
1,2021-03-20T00:30:00Z,2020-04-09,88,51
1,2021-03-20T00:30:00Z,2020-04-10,56,50
1,2021-03-20T00:30:00Z,2020-04-11,23,28
1,2021-03-20T00:30:00Z,2020-04-12,34,33
1,2021-03-20T00:30:00Z,2020-04-13,37,45
1,2021-03-20T00:30:00Z,2020-04-14,44,36
1,2021-03-20T00:30:00Z,2020-04-15,45,24
1,2021-03-20T00:30:00Z,2020-04-16,35,30
1,2021-03-20T00:30:00Z,2020-04-17,25,26
1,2021-03-20T00:30:00Z,2020-04-18,18,19
1,2021-03-20T00:30:00Z,2020-04-19,20,20
1,2021-03-20T00:30:00Z,2020-04-20,24,26
1,2021-03-20T00:30:00Z,2020-04-21,35,23
1,2021-03-20T00:30:00Z,2020-04-22,16,15
1,2021-03-20T00:30:00Z,2020-04-23,17,17
1,2021-03-20T00:30:00Z,2020-04-24,14,17
1,2021-03-20T00:30:00Z,2020-04-25,10,14
1,2021-03-20T00:30:00Z,2020-04-26,12,13
1,2021-03-20T00:30:00Z,2020-04-27,12,14
1,2021-03-20T00:30:00Z,2020-04-28,20,14
1,2021-03-20T00:30:00Z,2020-04-29,16,12
1,2021-03-20T00:30:00Z,2020-04-30,11,17
1,2021-03-20T00:30:00Z,2020-05-01,11,9
1,2021-03-20T00:30:00Z,2020-05-02,6,9
1,2021-03-20T00:30:00Z,2020-05-03,7,11
1,2021-03-20T00:30:00Z,2020-05-04,16,11
1,2021-03-20T00:30:00Z,2020-05-05,7,3
1,2021-03-20T00:30:00Z,2020-05-06,7,6
1,2021-03-20T00:30:00Z,2020-05-07,8,9
1,2021-03-20T00:30:00Z,2020-05-08,5,7
1,2021-03-20T00:30:00Z,2020-05-09,5,5
1,2021-03-20T00:30:00Z,2020-05-10,2,4
1,2021-03-20T00:30:00Z,2020-05-11,10,7
1,2021-03-20T00:30:00Z,2020-05-12,5,2
1,2021-03-20T00:30:00Z,2020-05-13,5,3
1,2021-03-20T00:30:00Z,2020-05-14,4,8
1,2021-03-20T00:30:00Z,2020-05-15,3,3
1,2021-03-20T00:30:00Z,2020-05-16,4,7
1,2021-03-20T00:30:00Z,2020-05-17,6,4
1,2021-03-20T00:30:00Z,2020-05-18,2,4
1,2021-03-20T00:30:00Z,2020-05-19,12,1
1,2021-03-20T00:30:00Z,2020-05-20,3,3
1,2021-03-20T00:30:00Z,2020-05-21,1,2
1,2021-03-20T00:30:00Z,2020-05-22,3,4
1,2021-03-20T00:30:00Z,2020-05-23,5,4
1,2021-03-20T00:30:00Z,2020-05-24,4,7
1,2021-03-20T00:30:00Z,2020-05-25,6,1
1,2021-03-20T00:30:00Z,2020-05-26,2,4
1,2021-03-20T00:30:00Z,2020-05-27,7,3
1,2021-03-20T00:30:00Z,2020-05-28,1,1
1,2021-03-20T00:30:00Z,2020-05-29,4,1
1,2021-03-20T00:30:00Z,2020-05-30,0,3
1,2021-03-20T00:30:00Z,2020-05-31,1,3
1,2021-03-20T00:30:00Z,2020-06-01,4,5
1,2021-03-20T00:30:00Z,2020-06-02,4,1
1,2021-03-20T00:30:00Z,2020-06-03,1,5
1,2021-03-20T00:30:00Z,2020-06-04,1,5
1,2021-03-20T00:30:00Z,2020-06-05,9,3
1,2021-03-20T00:30:00Z,2020-06-06,0,2
1,2021-03-20T00:30:00Z,2020-06-07,2,3
1,2021-03-20T00:30:00Z,2020-06-08,2,0
1,2021-03-20T00:30:00Z,2020-06-09,5,2
1,2021-03-20T00:30:00Z,2020-06-10,2,2
1,2021-03-20T00:30:00Z,2020-06-11,1,1
1,2021-03-20T00:30:00Z,2020-06-12,4,3
1,2021-03-20T00:30:00Z,2020-06-13,1,2
1,2021-03-20T00:30:00Z,2020-06-14,0,0
1,2021-03-20T00:30:00Z,2020-06-15,2,1
1,2021-03-20T00:30:00Z,2020-06-16,0,2
1,2021-03-20T00:30:00Z,2020-06-17,2,0
1,2021-03-20T00:30:00Z,2020-06-18,0,1
1,2021-03-20T00:30:00Z,2020-06-19,0,0
1,2021-03-20T00:30:00Z,2020-06-20,2,2
1,2021-03-20T00:30:00Z,2020-06-21,1,0
1,2021-03-20T00:30:00Z,2020-06-22,2,3
1,2021-03-20T00:30:00Z,2020-06-23,0,1
1,2021-03-20T00:30:00Z,2020-06-24,2,1
1,2021-03-20T00:30:00Z,2020-06-25,0,0
1,2021-03-20T00:30:00Z,2020-06-26,2,0
1,2021-03-20T00:30:00Z,2020-06-27,0,0
1,2021-03-20T00:30:00Z,2020-06-28,0,0
1,2021-03-20T00:30:00Z,2020-06-29,1,0
1,2021-03-20T00:30:00Z,2020-06-30,0,2
1,2021-03-20T00:30:00Z,2020-07-01,1,0
1,2021-03-20T00:30:00Z,2020-07-02,0,2
1,2021-03-20T00:30:00Z,2020-07-03,3,0
1,2021-03-20T00:30:00Z,2020-07-04,0,1
1,2021-03-20T00:30:00Z,2020-07-05,0,0
1,2021-03-20T00:30:00Z,2020-07-06,1,0
1,2021-03-20T00:30:00Z,2020-07-07,1,1
1,2021-03-20T00:30:00Z,2020-07-08,0,2
1,2021-03-20T00:30:00Z,2020-07-09,2,1
1,2021-03-20T00:30:00Z,2020-07-10,0,1
1,2021-03-20T00:30:00Z,2020-07-11,0,0
1,2021-03-20T00:30:00Z,2020-07-12,0,1
1,2021-03-20T00:30:00Z,2020-07-13,1,0
1,2021-03-20T00:30:00Z,2020-07-14,12,0
1,2021-03-20T00:30:00Z,2020-07-15,1,1
1,2021-03-20T00:30:00Z,2020-07-16,0,1
1,2021-03-20T00:30:00Z,2020-07-17,0,0
1,2021-03-20T00:30:00Z,2020-07-18,0,0
1,2021-03-20T00:30:00Z,2020-07-19,0,1
1,2021-03-20T00:30:00Z,2020-07-20,2,0
1,2021-03-20T00:30:00Z,2020-07-21,1,2
1,2021-03-20T00:30:00Z,2020-07-22,2,1
1,2021-03-20T00:30:00Z,2020-07-23,1,1
1,2021-03-20T00:30:00Z,2020-07-24,0,1
1,2021-03-20T00:30:00Z,2020-07-25,1,1
1,2021-03-20T00:30:00Z,2020-07-26,0,3
1,2021-03-20T00:30:00Z,2020-07-27,7,3
1,2021-03-20T00:30:00Z,2020-07-28,0,0
1,2021-03-20T00:30:00Z,2020-07-29,0,0
1,2021-03-20T00:30:00Z,2020-07-30,2,3
1,2021-03-20T00:30:00Z,2020-07-31,2,4
1,2021-03-20T00:30:00Z,2020-08-01,2,2
1,2021-03-20T00:30:00Z,2020-08-02,0,2
1,2021-03-20T00:30:00Z,2020-08-03,5,3
1,2021-03-20T00:30:00Z,2020-08-04,6,3
1,2021-03-20T00:30:00Z,2020-08-05,2,2
1,2021-03-20T00:30:00Z,2020-08-06,3,2
1,2021-03-20T00:30:00Z,2020-08-07,1,1
1,2021-03-20T00:30:00Z,2020-08-08,1,1
1,2021-03-20T00:30:00Z,2020-08-09,3,5
1,2021-03-20T00:30:00Z,2020-08-10,3,5
1,2021-03-20T00:30:00Z,2020-08-11,4,3
1,2021-03-20T00:30:00Z,2020-08-12,3,4
1,2021-03-20T00:30:00Z,2020-08-13,6,4
1,2021-03-20T00:30:00Z,2020-08-14,4,6
1,2021-03-20T00:30:00Z,2020-08-15,2,1
1,2021-03-20T00:30:00Z,2020-08-16,0,4
1,2021-03-20T00:30:00Z,2020-08-17,9,7
1,2021-03-20T00:30:00Z,2020-08-18,7,2
1,2021-03-20T00:30:00Z,2020-08-19,1,3
1,2021-03-20T00:30:00Z,2020-08-20,2,6
1,2021-03-20T00:30:00Z,2020-08-21,12,5
1,2021-03-20T00:30:00Z,2020-08-22,1,0
1,2021-03-20T00:30:00Z,2020-08-23,1,5
1,2021-03-20T00:30:00Z,2020-08-24,5,2
1,2021-03-20T00:30:00Z,2020-08-25,3,3
1,2021-03-20T00:30:00Z,2020-08-26,1,0
1,2021-03-20T00:30:00Z,2020-08-27,2,2
1,2021-03-20T00:30:00Z,2020-08-28,2,2
1,2021-03-20T00:30:00Z,2020-08-29,0,3
1,2021-03-20T00:30:00Z,2020-08-30,1,3
1,2021-03-20T00:30:00Z,2020-08-31,5,1
1,2021-03-20T00:30:00Z,2020-09-01,1,2
1,2021-03-20T00:30:00Z,2020-09-02,3,1
1,2021-03-20T00:30:00Z,2020-09-03,3,4
1,2021-03-20T00:30:00Z,2020-09-04,3,4
1,2021-03-20T00:30:00Z,2020-09-05,0,1
1,2021-03-20T00:30:00Z,2020-09-06,2,4
1,2021-03-20T00:30:00Z,2020-09-07,6,3
1,2021-03-20T00:30:00Z,2020-09-08,1,3
1,2021-03-20T00:30:00Z,2020-09-09,3,4
1,2021-03-20T00:30:00Z,2020-09-10,4,5
1,2021-03-20T00:30:00Z,2020-09-11,6,6
1,2021-03-20T00:30:00Z,2020-09-12,2,6
1,2021-03-20T00:30:00Z,2020-09-13,0,4
1,2021-03-20T00:30:00Z,2020-09-14,8,10
1,2021-03-20T00:30:00Z,2020-09-15,11,4
1,2021-03-20T00:30:00Z,2020-09-16,6,1
1,2021-03-20T00:30:00Z,2020-09-17,6,4
1,2021-03-20T00:30:00Z,2020-09-18,8,7
1,2021-03-20T00:30:00Z,2020-09-19,2,14
1,2021-03-20T00:30:00Z,2020-09-20,9,13
1,2021-03-20T00:30:00Z,2020-09-21,20,13
1,2021-03-20T00:30:00Z,2020-09-22,13,10
1,2021-03-20T00:30:00Z,2020-09-23,31,13
1,2021-03-20T00:30:00Z,2020-09-24,10,11
1,2021-03-20T00:30:00Z,2020-09-25,15,18
1,2021-03-20T00:30:00Z,2020-09-26,12,13
1,2021-03-20T00:30:00Z,2020-09-27,7,17
1,2021-03-20T00:30:00Z,2020-09-28,29,15
1,2021-03-20T00:30:00Z,2020-09-29,19,22
1,2021-03-20T00:30:00Z,2020-09-30,15,15
1,2021-03-20T00:30:00Z,2020-10-01,17,13
1,2021-03-20T00:30:00Z,2020-10-02,14,14
1,2021-03-20T00:30:00Z,2020-10-03,9,19
1,2021-03-20T00:30:00Z,2020-10-04,18,22
1,2021-03-20T00:30:00Z,2020-10-05,40,28
1,2021-03-20T00:30:00Z,2020-10-06,24,34
1,2021-03-20T00:30:00Z,2020-10-07,36,29
1,2021-03-20T00:30:00Z,2020-10-08,25,22
1,2021-03-20T00:30:00Z,2020-10-09,27,28
1,2021-03-20T00:30:00Z,2020-10-10,17,27
1,2021-03-20T00:30:00Z,2020-10-11,22,19
1,2021-03-20T00:30:00Z,2020-10-12,39,41
1,2021-03-20T00:30:00Z,2020-10-13,34,36
1,2021-03-20T00:30:00Z,2020-10-14,37,35
1,2021-03-20T00:30:00Z,2020-10-15,37,37
1,2021-03-20T00:30:00Z,2020-10-16,45,56
1,2021-03-20T00:30:00Z,2020-10-17,39,30
1,2021-03-20T00:30:00Z,2020-10-18,30,41
1,2021-03-20T00:30:00Z,2020-10-19,51,58
1,2021-03-20T00:30:00Z,2020-10-20,60,49
1,2021-03-20T00:30:00Z,2020-10-21,42,49
1,2021-03-20T00:30:00Z,2020-10-22,56,43
1,2021-03-20T00:30:00Z,2020-10-23,50,54
1,2021-03-20T00:30:00Z,2020-10-24,21,38
1,2021-03-20T00:30:00Z,2020-10-25,42,48
1,2021-03-20T00:30:00Z,2020-10-26,70,59
1,2021-03-20T00:30:00Z,2020-10-27,51,50
1,2021-03-20T00:30:00Z,2020-10-28,53,51
1,2021-03-20T00:30:00Z,2020-10-29,55,46
1,2021-03-20T00:30:00Z,2020-10-30,38,42
1,2021-03-20T00:30:00Z,2020-10-31,41,48
1,2021-03-20T00:30:00Z,2020-11-01,51,43
1,2021-03-20T00:30:00Z,2020-11-02,49,60
1,2021-03-20T00:30:00Z,2020-11-03,49,32
1,2021-03-20T00:30:00Z,2020-11-04,40,40
1,2021-03-20T00:30:00Z,2020-11-05,36,36
1,2021-03-20T00:30:00Z,2020-11-06,36,35
1,2021-03-20T00:30:00Z,2020-11-07,34,39
1,2021-03-20T00:30:00Z,2020-11-08,41,44
1,2021-03-20T00:30:00Z,2020-11-09,51,41
1,2021-03-20T00:30:00Z,2020-11-10,31,37
1,2021-03-20T00:30:00Z,2020-11-11,43,36
1,2021-03-20T00:30:00Z,2020-11-12,36,41
1,2021-03-20T00:30:00Z,2020-11-13,41,31
1,2021-03-20T00:30:00Z,2020-11-14,24,22
1,2021-03-20T00:30:00Z,2020-11-15,23,34
1,2021-03-20T00:30:00Z,2020-11-16,39,36
1,2021-03-20T00:30:00Z,2020-11-17,33,30
1,2021-03-20T00:30:00Z,2020-11-18,29,32
1,2021-03-20T00:30:00Z,2020-11-19,40,39
1,2021-03-20T00:30:00Z,2020-11-20,27,28
1,2021-03-20T00:30:00Z,2020-11-21,26,19
1,2021-03-20T00:30:00Z,2020-11-22,23,25
1,2021-03-20T00:30:00Z,2020-11-23,26,25
1,2021-03-20T00:30:00Z,2020-11-24,25,34
1,2021-03-20T00:30:00Z,2020-11-25,43,41
1,2021-03-20T00:30:00Z,2020-11-26,36,30
1,2021-03-20T00:30:00Z,2020-11-27,18,18
1,2021-03-20T00:30:00Z,2020-11-28,22,21
1,2021-03-20T00:30:00Z,2020-11-29,14,18
1,2021-03-20T00:30:00Z,2020-11-30,29,24
1,2021-03-20T00:30:00Z,2020-12-01,29,30
1,2021-03-20T00:30:00Z,2020-12-02,27,30
1,2021-03-20T00:30:00Z,2020-12-03,27,30
1,2021-03-20T00:30:00Z,2020-12-04,29,33
1,2021-03-20T00:30:00Z,2020-12-05,19,25
1,2021-03-20T00:30:00Z,2020-12-06,29,28
1,2021-03-20T00:30:00Z,2020-12-07,26,21
1,2021-03-20T00:30:00Z,2020-12-08,37,41
1,2021-03-20T00:30:00Z,2020-12-09,27,32
1,2021-03-20T00:30:00Z,2020-12-10,37,33
1,2021-03-20T00:30:00Z,2020-12-11,38,36
1,2021-03-20T00:30:00Z,2020-12-12,29,22
1,2021-03-20T00:30:00Z,2020-12-13,22,42
1,2021-03-20T00:30:00Z,2020-12-14,43,24
1,2021-03-20T00:30:00Z,2020-12-15,38,45
1,2021-03-20T00:30:00Z,2020-12-16,41,36
1,2021-03-20T00:30:00Z,2020-12-17,38,48
1,2021-03-20T00:30:00Z,2020-12-18,46,38
1,2021-03-20T00:30:00Z,2020-12-19,28,43
1,2021-03-20T00:30:00Z,2020-12-20,43,54
1,2021-03-20T00:30:00Z,2020-12-21,63,32
1,2021-03-20T00:30:00Z,2020-12-22,35,43
1,2021-03-20T00:30:00Z,2020-12-23,43,48
1,2021-03-20T00:30:00Z,2020-12-24,47,49
1,2021-03-20T00:30:00Z,2020-12-25,34,35
1,2021-03-20T00:30:00Z,2020-12-26,43,42
1,2021-03-20T00:30:00Z,2020-12-27,47,44
1,2021-03-20T00:30:00Z,2020-12-28,64,68
1,2021-03-20T00:30:00Z,2020-12-29,60,61
1,2021-03-20T00:30:00Z,2020-12-30,49,44
1,2021-03-20T00:30:00Z,2020-12-31,47,39
1,2021-03-20T00:30:00Z,2021-01-01,36,40
1,2021-03-20T00:30:00Z,2021-01-02,41,39
1,2021-03-20T00:30:00Z,2021-01-03,42,44
1,2021-03-20T00:30:00Z,2021-01-04,66,58
1,2021-03-20T00:30:00Z,2021-01-05,47,53
1,2021-03-20T00:30:00Z,2021-01-06,45,46
1,2021-03-20T00:30:00Z,2021-01-07,37,37
1,2021-03-20T00:30:00Z,2021-01-08,42,45
1,2021-03-20T00:30:00Z,2021-01-09,35,32
1,2021-03-20T00:30:00Z,2021-01-10,31,32
1,2021-03-20T00:30:00Z,2021-01-11,35,38
1,2021-03-20T00:30:00Z,2021-01-12,48,46
1,2021-03-20T00:30:00Z,2021-01-13,33,37
1,2021-03-20T00:30:00Z,2021-01-14,32,35
1,2021-03-20T00:30:00Z,2021-01-15,37,35
1,2021-03-20T00:30:00Z,2021-01-16,30,26
1,2021-03-20T00:30:00Z,2021-01-17,31,37
1,2021-03-20T00:30:00Z,2021-01-18,48,42
1,2021-03-20T00:30:00Z,2021-01-19,27,32
1,2021-03-20T00:30:00Z,2021-01-20,34,33
1,2021-03-20T00:30:00Z,2021-01-21,44,41
1,2021-03-20T00:30:00Z,2021-01-22,36,36
1,2021-03-20T00:30:00Z,2021-01-23,36,34
1,2021-03-20T00:30:00Z,2021-01-24,26,27
1,2021-03-20T00:30:00Z,2021-01-25,43,53
1,2021-03-20T00:30:00Z,2021-01-26,44,35
1,2021-03-20T00:30:00Z,2021-01-27,37,28
1,2021-03-20T00:30:00Z,2021-01-28,39,42
1,2021-03-20T00:30:00Z,2021-01-29,36,29
1,2021-03-20T00:30:00Z,2021-01-30,25,31
1,2021-03-20T00:30:00Z,2021-01-31,26,36
1,2021-03-20T00:30:00Z,2021-02-01,40,30
1,2021-03-20T00:30:00Z,2021-02-02,29,28
1,2021-03-20T00:30:00Z,2021-02-03,31,30
1,2021-03-20T00:30:00Z,2021-02-04,25,25
1,2021-03-20T00:30:00Z,2021-02-05,26,18
1,2021-03-20T00:30:00Z,2021-02-06,14,20
1,2021-03-20T00:30:00Z,2021-02-07,19,22
1,2021-03-20T00:30:00Z,2021-02-08,36,32
1,2021-03-20T00:30:00Z,2021-02-09,25,18
1,2021-03-20T00:30:00Z,2021-02-10,21,30
1,2021-03-20T00:30:00Z,2021-02-11,33,30
1,2021-03-20T00:30:00Z,2021-02-12,31,33
1,2021-03-20T00:30:00Z,2021-02-13,20,22
1,2021-03-20T00:30:00Z,2021-02-14,22,27
1,2021-03-20T00:30:00Z,2021-02-15,45,34
1,2021-03-20T00:30:00Z,2021-02-16,28,39
1,2021-03-20T00:30:00Z,2021-02-17,44,36
1,2021-03-20T00:30:00Z,2021-02-18,34,25
1,2021-03-20T00:30:00Z,2021-02-19,24,31
1,2021-03-20T00:30:00Z,2021-02-20,31,39
1,2021-03-20T00:30:00Z,2021-02-21,39,36
1,2021-03-20T00:30:00Z,2021-02-22,38,31
1,2021-03-20T00:30:00Z,2021-02-23,39,27
1,2021-03-20T00:30:00Z,2021-02-24,19,31
1,2021-03-20T00:30:00Z,2021-02-25,51,47
1,2021-03-20T00:30:00Z,2021-02-26,26,28
1,2021-03-20T00:30:00Z,2021-02-27,26,20
1,2021-03-20T00:30:00Z,2021-02-28,26,43
1,2021-03-20T00:30:00Z,2021-03-01,46,52
1,2021-03-20T00:30:00Z,2021-03-02,52,39
1,2021-03-20T00:30:00Z,2021-03-03,48,35
1,2021-03-20T00:30:00Z,2021-03-04,38,42
1,2021-03-20T00:30:00Z,2021-03-05,35,39
1,2021-03-20T00:30:00Z,2021-03-06,32,36
1,2021-03-20T00:30:00Z,2021-03-07,25,36
1,2021-03-20T00:30:00Z,2021-03-08,40,44
1,2021-03-20T00:30:00Z,2021-03-09,53,34
1,2021-03-20T00:30:00Z,2021-03-10,39,44
1,2021-03-20T00:30:00Z,2021-03-11,49,41
1,2021-03-20T00:30:00Z,2021-03-12,33,32
1,2021-03-20T00:30:00Z,2021-03-13,28,36
1,2021-03-20T00:30:00Z,2021-03-14,37,42
1,2021-03-20T00:30:00Z,2021-03-15,51,44
1,2021-03-20T00:30:00Z,2021-03-16,46,46
1,2021-03-20T00:30:00Z,2021-03-17,41,37
1,2021-03-20T00:30:00Z,2021-03-18,43,46
1,2021-03-20T00:30:00Z,2021-03-19,57,31
