"","statcode","statnaam"
"1","GM0003","Appingedam"
"2","GM0010","Delfzijl"
"3","GM0014","Groningen"
"4","GM0024","Loppersum"
"5","GM0034","Almere"
"6","GM0037","Stadskanaal"
"7","GM0047","Veendam"
"8","GM0252","Heumen"
"9","GM0050","Zeewolde"
"10","GM0059","Achtkarspelen"
"11","GM0060","Ameland"
"12","GM0072","Harlingen"
"13","GM0277","Rozendaal"
"14","GM0074","Heerenveen"
"15","GM0086","Opsterland"
"16","GM0088","Schiermonnikoog"
"17","GM0080","Leeuwarden"
"18","GM0085","Ooststellingwerf"
"19","GM0279","Scherpenzeel"
"20","GM0090","Smallingerland"
"21","GM0093","Terschelling"
"22","GM0096","Vlieland"
"23","GM0098","Weststellingwerf"
"24","GM0106","Assen"
"25","GM0109","Coevorden"
"26","GM0114","Emmen"
"27","GM0118","Hoogeveen"
"28","GM0119","Meppel"
"29","GM0141","Almelo"
"30","GM0147","Borne"
"31","GM0148","Dalfsen"
"32","GM0150","Deventer"
"33","GM0153","Enschede"
"34","GM0158","Haaksbergen"
"35","GM0166","Kampen"
"36","GM0160","Hardenberg"
"37","GM0163","Hellendoorn"
"38","GM0164","Hengelo"
"39","GM0168","Losser"
"40","GM0171","Noordoostpolder"
"41","GM0173","Oldenzaal"
"42","GM0175","Ommen"
"43","GM0177","Raalte"
"44","GM0180","Staphorst"
"45","GM0183","Tubbergen"
"46","GM0184","Urk"
"47","GM0189","Wierden"
"48","GM0193","Zwolle"
"49","GM0197","Aalten"
"50","GM0209","Beuningen"
"51","GM0200","Apeldoorn"
"52","GM0202","Arnhem"
"53","GM0203","Barneveld"
"54","GM0213","Brummen"
"55","GM0214","Buren"
"56","GM0216","Culemborg"
"57","GM0221","Doesburg"
"58","GM0230","Elburg"
"59","GM0222","Doetinchem"
"60","GM0225","Druten"
"61","GM0226","Duiven"
"62","GM0228","Ede"
"63","GM0232","Epe"
"64","GM0233","Ermelo"
"65","GM0243","Harderwijk"
"66","GM0244","Hattem"
"67","GM0246","Heerde"
"68","GM0262","Lochem"
"69","GM0263","Maasdriel"
"70","GM0267","Nijkerk"
"71","GM0268","Nijmegen"
"72","GM0269","Oldebroek"
"73","GM0273","Putten"
"74","GM0274","Renkum"
"75","GM0275","Rheden"
"76","GM0281","Tiel"
"77","GM0285","Voorst"
"78","GM0289","Wageningen"
"79","GM0293","Westervoort"
"80","GM0294","Winterswijk"
"81","GM0296","Wijchen"
"82","GM0297","Zaltbommel"
"83","GM0299","Zevenaar"
"84","GM0308","Baarn"
"85","GM0301","Zutphen"
"86","GM0302","Nunspeet"
"87","GM0303","Dronten"
"88","GM0307","Amersfoort"
"89","GM0310","De Bilt"
"90","GM0312","Bunnik"
"91","GM0313","Bunschoten"
"92","GM0317","Eemnes"
"93","GM0321","Houten"
"94","GM0327","Leusden"
"95","GM0331","Lopik"
"96","GM0335","Montfoort"
"97","GM0339","Renswoude"
"98","GM0340","Rhenen"
"99","GM0342","Soest"
"100","GM0355","Zeist"
"101","GM0344","Utrecht"
"102","GM0345","Veenendaal"
"103","GM0351","Woudenberg"
"104","GM0352","Wijk bij Duurstede"
"105","GM0353","IJsselstein"
"106","GM0356","Nieuwegein"
"107","GM0358","Aalsmeer"
"108","GM0361","Alkmaar"
"109","GM0362","Amstelveen"
"110","GM0373","Bergen (NH.)"
"111","GM0363","Amsterdam"
"112","GM0370","Beemster"
"113","GM0375","Beverwijk"
"114","GM0376","Blaricum"
"115","GM0377","Bloemendaal"
"116","GM0383","Castricum"
"117","GM0384","Diemen"
"118","GM0537","Katwijk"
"119","GM0385","Edam-Volendam"
"120","GM0388","Enkhuizen"
"121","GM0392","Haarlem"
"122","GM0394","Haarlemmermeer"
"123","GM0542","Krimpen aan den IJssel"
"124","GM0396","Heemskerk"
"125","GM0397","Heemstede"
"126","GM0398","Heerhugowaard"
"127","GM0399","Heiloo"
"128","GM0400","Den Helder"
"129","GM0402","Hilversum"
"130","GM0405","Hoorn"
"131","GM0406","Huizen"
"132","GM0415","Landsmeer"
"133","GM0416","Langedijk"
"134","GM0417","Laren"
"135","GM0441","Schagen"
"136","GM0420","Medemblik"
"137","GM0431","Oostzaan"
"138","GM0432","Opmeer"
"139","GM0437","Ouder-Amstel"
"140","GM0439","Purmerend"
"141","GM0473","Zandvoort"
"142","GM0448","Texel"
"143","GM0450","Uitgeest"
"144","GM0451","Uithoorn"
"145","GM0453","Velsen"
"146","GM0457","Weesp"
"147","GM0479","Zaanstad"
"148","GM0482","Alblasserdam"
"149","GM0484","Alphen aan den Rijn"
"150","GM0489","Barendrecht"
"151","GM0498","Drechterland"
"152","GM0501","Brielle"
"153","GM0534","Hillegom"
"154","GM0502","Capelle aan den IJssel"
"155","GM0503","Delft"
"156","GM0505","Dordrecht"
"157","GM0512","Gorinchem"
"158","GM0513","Gouda"
"159","GM0610","Sliedrecht"
"160","GM0518","'s-Gravenhage"
"161","GM0523","Hardinxveld-Giessendam"
"162","GM0530","Hellevoetsluis"
"163","GM0531","Hendrik-Ido-Ambacht"
"164","GM0532","Stede Broec"
"165","GM0546","Leiden"
"166","GM0547","Leiderdorp"
"167","GM0553","Lisse"
"168","GM0556","Maassluis"
"169","GM0569","Nieuwkoop"
"170","GM0575","Noordwijk"
"171","GM1659","Laarbeek"
"172","GM0579","Oegstgeest"
"173","GM0589","Oudewater"
"174","GM0590","Papendrecht"
"175","GM0597","Ridderkerk"
"176","GM0613","Albrandswaard"
"177","GM0614","Westvoorne"
"178","GM0622","Vlaardingen"
"179","GM0626","Voorschoten"
"180","GM0599","Rotterdam"
"181","GM0603","Rijswijk"
"182","GM0606","Schiedam"
"183","GM0627","Waddinxveen"
"184","GM0629","Wassenaar"
"185","GM0632","Woerden"
"186","GM0637","Zoetermeer"
"187","GM0638","Zoeterwoude"
"188","GM0642","Zwijndrecht"
"189","GM0986","Voerendaal"
"190","GM0654","Borsele"
"191","GM0664","Goes"
"192","GM0668","West Maas en Waal"
"193","GM0851","Steenbergen"
"194","GM0677","Hulst"
"195","GM0678","Kapelle"
"196","GM0687","Middelburg"
"197","GM0756","Boxmeer"
"198","GM0703","Reimerswaal"
"199","GM0715","Terneuzen"
"200","GM0848","Son en Breugel"
"201","GM0716","Tholen"
"202","GM0717","Veere"
"203","GM0718","Vlissingen"
"204","GM0736","De Ronde Venen"
"205","GM0737","Tytsjerksteradiel"
"206","GM0743","Asten"
"207","GM0744","Baarle-Nassau"
"208","GM0748","Bergen op Zoom"
"209","GM0753","Best"
"210","GM0755","Boekel"
"211","GM0757","Boxtel"
"212","GM0758","Breda"
"213","GM0762","Deurne"
"214","GM0765","Pekela"
"215","GM0766","Dongen"
"216","GM0770","Eersel"
"217","GM0772","Eindhoven"
"218","GM0777","Etten-Leur"
"219","GM0779","Geertruidenberg"
"220","GM0784","Gilze en Rijen"
"221","GM0785","Goirle"
"222","GM0786","Grave"
"223","GM0788","Haaren"
"224","GM0794","Helmond"
"225","GM0796","'s-Hertogenbosch"
"226","GM0797","Heusden"
"227","GM0798","Hilvarenbeek"
"228","GM0809","Loon op Zand"
"229","GM0815","Mill en Sint Hubert"
"230","GM0820","Nuenen, Gerwen en Nederwetten"
"231","GM0823","Oirschot"
"232","GM0824","Oisterwijk"
"233","GM0826","Oosterhout"
"234","GM0828","Oss"
"235","GM0840","Rucphen"
"236","GM0845","Sint-Michielsgestel"
"237","GM0847","Someren"
"238","GM0852","Waterland"
"239","GM0855","Tilburg"
"240","GM0856","Uden"
"241","GM0965","Simpelveld"
"242","GM0858","Valkenswaard"
"243","GM0861","Veldhoven"
"244","GM0865","Vught"
"245","GM0866","Waalre"
"246","GM0867","Waalwijk"
"247","GM0873","Woensdrecht"
"248","GM0879","Zundert"
"249","GM0880","Wormerland"
"250","GM0882","Landgraaf"
"251","GM0888","Beek"
"252","GM0889","Beesel"
"253","GM0893","Bergen (L.)"
"254","GM0899","Brunssum"
"255","GM0907","Gennep"
"256","GM0917","Heerlen"
"257","GM0928","Kerkrade"
"258","GM0935","Maastricht"
"259","GM0938","Meerssen"
"260","GM0944","Mook en Middelaar"
"261","GM0946","Nederweert"
"262","GM0957","Roermond"
"263","GM0971","Stein"
"264","GM0981","Vaals"
"265","GM0983","Venlo"
"266","GM0984","Venray"
"267","GM1667","Reusel-De Mierden"
"268","GM0988","Weert"
"269","GM0994","Valkenburg aan de Geul"
"270","GM0995","Lelystad"
"271","GM1658","Heeze-Leende"
"272","GM1507","Horst aan de Maas"
"273","GM1509","Oude IJsselstreek"
"274","GM1525","Teylingen"
"275","GM1581","Utrechtse Heuvelrug"
"276","GM1586","Oost Gelre"
"277","GM1598","Koggenland"
"278","GM1621","Lansingerland"
"279","GM1640","Leudal"
"280","GM1641","Maasgouw"
"281","GM1652","Gemert-Bakel"
"282","GM1655","Halderberge"
"283","GM1669","Roerdalen"
"284","GM1674","Roosendaal"
"285","GM1680","Aa en Hunze"
"286","GM1681","Borger-Odoorn"
"287","GM1676","Schouwen-Duiveland"
"288","GM1684","Cuijk"
"289","GM1685","Landerd"
"290","GM1690","De Wolden"
"291","GM1705","Lingewaard"
"292","GM1695","Noord-Beveland"
"293","GM1696","Wijdemeren"
"294","GM1699","Noordenveld"
"295","GM1700","Twenterand"
"296","GM1701","Westerveld"
"297","GM1702","Sint Anthonis"
"298","GM1706","Cranendonck"
"299","GM1708","Steenwijkerland"
"300","GM1714","Sluis"
"301","GM1709","Moerdijk"
"302","GM1711","Echt-Susteren"
"303","GM1728","Bladel"
"304","GM1719","Drimmelen"
"305","GM1721","Bernheze"
"306","GM1723","Alphen-Chaam"
"307","GM1724","Bergeijk"
"308","GM1729","Gulpen-Wittem"
"309","GM1730","Tynaarlo"
"310","GM1883","Sittard-Geleen"
"311","GM1731","Midden-Drenthe"
"312","GM1734","Overbetuwe"
"313","GM1735","Hof van Twente"
"314","GM1740","Neder-Betuwe"
"315","GM1742","Rijssen-Holten"
"316","GM1771","Geldrop-Mierlo"
"317","GM1773","Olst-Wijhe"
"318","GM1774","Dinkelland"
"319","GM1783","Westland"
"320","GM1842","Midden-Delfland"
"321","GM1859","Berkelland"
"322","GM1876","Bronckhorst"
"323","GM1884","Kaag en Braassem"
"324","GM1891","Dantumadiel"
"325","GM1892","Zuidplas"
"326","GM1894","Peel en Maas"
"327","GM1895","Oldambt"
"328","GM1896","Zwartewaterland"
"329","GM1900","Súdwest-Fryslân"
"330","GM1901","Bodegraven-Reeuwijk"
"331","GM1903","Eijsden-Margraten"
"332","GM1904","Stichtse Vecht"
"333","GM1930","Nissewaard"
"334","GM1911","Hollands Kroon"
"335","GM1916","Leidschendam-Voorburg"
"336","GM1931","Krimpenerwaard"
"337","GM1924","Goeree-Overflakkee"
"338","GM1926","Pijnacker-Nootdorp"
"339","GM1940","De Fryske Marren"
"340","GM1942","Gooise Meren"
"341","GM1945","Berg en Dal"
"342","GM1948","Meierijstad"
"343","GM1949","Waadhoeke"
"344","GM1950","Westerwolde"
"345","GM1952","Midden-Groningen"
"346","GM1954","Beekdaelen"
"347","GM1955","Montferland"
"348","GM1959","Altena"
"349","GM1960","West Betuwe"
"350","GM1961","Vijfheerenlanden"
"351","GM1963","Hoeksche Waard"
"352","GM1966","Het Hogeland"
"353","GM1969","Westerkwartier"
"354","GM1978","Molenlanden"
"355","GM1970","Noardeast-Fryslân"
